# Expanded Genesis Nova corpus
0+0 => 0 | route=1
0-0 => 0 | route=1
0*0 => 0 | route=1
0+1 => 1 | route=1
0-1 => -1 | route=1
0/1 => 0 | route=1
0*1 => 0 | route=1
0+2 => 2 | route=1
0-2 => -2 | route=1
0/2 => 0 | route=1
0*2 => 0 | route=1
0+3 => 3 | route=1
0-3 => -3 | route=1
0/3 => 0 | route=1
0*3 => 0 | route=1
0+4 => 4 | route=1
0-4 => -4 | route=1
0/4 => 0 | route=1
0*4 => 0 | route=1
0+5 => 5 | route=1
0-5 => -5 | route=1
0/5 => 0 | route=1
0*5 => 0 | route=1
0+6 => 6 | route=1
0-6 => -6 | route=1
0/6 => 0 | route=1
0*6 => 0 | route=1
0+7 => 7 | route=1
0-7 => -7 | route=1
0/7 => 0 | route=1
0*7 => 0 | route=1
0+8 => 8 | route=1
0-8 => -8 | route=1
0/8 => 0 | route=1
0*8 => 0 | route=1
0+9 => 9 | route=1
0-9 => -9 | route=1
0/9 => 0 | route=1
0*9 => 0 | route=1
0+10 => 10 | route=1
0-10 => -10 | route=1
0/10 => 0 | route=1
0*10 => 0 | route=1
0+11 => 11 | route=1
0-11 => -11 | route=1
0/11 => 0 | route=1
0*11 => 0 | route=1
0+12 => 12 | route=1
0-12 => -12 | route=1
0/12 => 0 | route=1
0*12 => 0 | route=1
0+13 => 13 | route=1
0-13 => -13 | route=1
0/13 => 0 | route=1
0+14 => 14 | route=1
0-14 => -14 | route=1
0/14 => 0 | route=1
0+15 => 15 | route=1
0-15 => -15 | route=1
0/15 => 0 | route=1
0+16 => 16 | route=1
0-16 => -16 | route=1
0/16 => 0 | route=1
0+17 => 17 | route=1
0-17 => -17 | route=1
0/17 => 0 | route=1
0+18 => 18 | route=1
0-18 => -18 | route=1
0/18 => 0 | route=1
0+19 => 19 | route=1
0-19 => -19 | route=1
0/19 => 0 | route=1
0+20 => 20 | route=1
0-20 => -20 | route=1
0/20 => 0 | route=1
1+0 => 1 | route=1
1-0 => 1 | route=1
1*0 => 0 | route=1
1+1 => 2 | route=1
1-1 => 0 | route=1
1/1 => 1 | route=1
1*1 => 1 | route=1
1+2 => 3 | route=1
1-2 => -1 | route=1
1/2 => 0 | route=1
1*2 => 2 | route=1
1+3 => 4 | route=1
1-3 => -2 | route=1
1/3 => 0 | route=1
1*3 => 3 | route=1
1+4 => 5 | route=1
1-4 => -3 | route=1
1/4 => 0 | route=1
1*4 => 4 | route=1
1+5 => 6 | route=1
1-5 => -4 | route=1
1/5 => 0 | route=1
1*5 => 5 | route=1
1+6 => 7 | route=1
1-6 => -5 | route=1
1/6 => 0 | route=1
1*6 => 6 | route=1
1+7 => 8 | route=1
1-7 => -6 | route=1
1/7 => 0 | route=1
1*7 => 7 | route=1
1+8 => 9 | route=1
1-8 => -7 | route=1
1/8 => 0 | route=1
1*8 => 8 | route=1
1+9 => 10 | route=1
